timestamp           ,mean_bearing_1 ,std_bearing_1 ,max_bearing_1 ,min_bearing_1 ,is_failure
2004-02-12 10:32:39 ,-0.010196      ,     0.073475 ,        0.454 ,-0.386        ,N
2004-02-12 10:42:39 ,-0.002585      ,     0.075338 ,        0.369 ,-0.388        ,N
2004-02-12 10:52:39 ,-0.002484      ,     0.076189 ,        0.503 ,-0.4          ,N
2004-02-12 11:02:39 ,-0.002277      ,     0.078691 ,        0.608 ,-0.576        ,N
2004-02-12 11:12:39 ,-0.002404      ,     0.078437 ,        0.391 ,-0.391        ,N
2004-02-12 11:22:39 ,-0.001623      ,     0.078298 ,        0.439 ,-0.366        ,N
2004-02-12 11:32:39 ,-0.001606      ,     0.078616 ,        0.388 ,-0.408        ,N
2004-02-12 11:42:39 ,-0.002027      ,     0.077746 ,        0.415 ,-0.334        ,N
2004-02-12 11:52:39 ,-0.001916      ,     0.079006 ,        0.386 ,-0.361        ,N
2004-02-12 12:02:39 ,-0.002097      ,     0.075689 ,        0.378 ,-0.344        ,N
2004-02-12 12:12:39 ,-0.001791      ,     0.079221 ,        0.4   ,-0.415        ,N
2004-02-12 12:22:39 ,-0.001555      ,     0.077623 ,        0.474 ,-0.439        ,N
2004-02-12 12:32:39 ,-0.002451      ,     0.077366 ,        0.4   ,-0.378        ,N
2004-02-12 12:42:39 ,-0.001034      ,     0.079858 ,        0.42  ,-0.432        ,N
2004-02-12 12:52:39 ,-0.002372      ,     0.079181 ,        0.422 ,-0.383        ,N
2004-02-12 13:02:39 ,-0.001521      ,     0.078647 ,        0.354 ,-0.371        ,N
2004-02-12 13:12:39 ,-0.002017      ,     0.078427 ,        0.439 ,-0.381        ,N
2004-02-12 13:22:39 ,-0.001662      ,     0.077605 ,        0.405 ,-0.444        ,N
2004-02-12 13:32:39 ,-0.002757      ,     0.077777 ,        0.356 ,-0.405        ,N
2004-02-12 13:42:39 ,-0.002261      ,     0.078901 ,        0.471 ,-0.403        ,N
2004-02-12 13:52:39 ,-0.001448      ,     0.079015 ,        0.415 ,-0.388        ,N
2004-02-12 14:02:39 ,-0.001809      ,     0.079343 ,        0.381 ,-0.361        ,N
2004-02-12 14:12:39 ,-0.001802      ,     0.079466 ,        0.344 ,-0.342        ,N
2004-02-12 14:22:39 ,-0.002246      ,     0.079721 ,        0.366 ,-0.393        ,N
2004-02-12 14:32:39 ,-0.001977      ,     0.079357 ,        0.413 ,-0.437        ,N
2004-02-12 14:42:39 ,-0.002174      ,     0.077561 ,        0.405 ,-0.308        ,N
2004-02-12 14:52:39 ,-0.001515      ,     0.077726 ,        0.344 ,-0.388        ,N
2004-02-12 15:02:39 ,-0.002249      ,     0.077481 ,        0.369 ,-0.4          ,N
2004-02-12 15:12:39 ,-0.002356      ,     0.078244 ,        0.391 ,-0.344        ,N
2004-02-12 15:22:39 ,-0.002445      ,     0.078823 ,        0.383 ,-0.488        ,N
2004-02-12 15:32:39 ,-0.002275      ,     0.078549 ,        0.403 ,-0.4          ,N
2004-02-12 15:42:39 ,-0.001819      ,     0.08021  ,        0.396 ,-0.378        ,N
2004-02-12 15:52:39 ,-0.00188       ,     0.077398 ,        0.388 ,-0.344        ,N
2004-02-12 16:02:39 ,-0.001988      ,     0.078991 ,        0.376 ,-0.364        ,N
2004-02-12 16:12:39 ,-0.001353      ,     0.078223 ,        0.359 ,-0.303        ,N
2004-02-12 16:22:39 ,-0.001791      ,     0.078108 ,        0.356 ,-0.354        ,N
2004-02-12 16:32:39 ,-0.002033      ,     0.076835 ,        0.347 ,-0.413        ,N
2004-02-12 16:42:39 ,-0.00182       ,     0.079844 ,        0.352 ,-0.457        ,N
2004-02-12 16:52:39 ,-0.002309      ,     0.077395 ,        0.356 ,-0.378        ,N
2004-02-12 17:02:39 ,-0.001994      ,     0.078436 ,        0.498 ,-0.398        ,N
2004-02-12 17:12:39 ,-0.002491      ,     0.078556 ,        0.354 ,-0.371        ,N
2004-02-12 17:22:39 ,-0.001804      ,     0.078641 ,        0.393 ,-0.354        ,N
2004-02-12 17:32:39 ,-0.001731      ,     0.077609 ,        0.449 ,-0.33         ,N
2004-02-12 17:42:39 ,-0.001946      ,     0.078185 ,        0.415 ,-0.334        ,N
2004-02-12 17:52:39 ,-0.001612      ,     0.078072 ,        0.469 ,-0.444        ,N
